,frequ,nkill,latitude,longitude,country
Runda Kumpulan Kecil (RKK),154.0,55.0,6.5411019999999995,101.280407,Thailand
Islamic Salvation Front (FIS),150.0,211.0,36.51833,2.90528,Algeria
Barqa Province of the Islamic State,150.0,373.0,32.788514,21.954765,Libya
Guerrilla Army of the Poor (EGP),150.0,576.0,14.624422000000001,-90.53288,Guatemala
Islamic State of Iraq (ISI),147.0,1744.0,33.335265,44.39699,Iraq
Muslim Brotherhood,133.0,359.0,36.212989,37.142588,Syria
Corsican National Liberation Front- Historic Channel,128.0,0.0,41.919593,8.737687,France
Animal Liberation Front (ALF),127.0,0.0,38.538232,-121.76171200000002,United States
Irish National Liberation Army (INLA),125.0,107.0,54.597269,-5.930109,United Kingdom
Tribesmen,125.0,97.0,15.45,45.333333,Yemen
Lashkar-e-Islam (Pakistan),124.0,445.0,33.921926,71.462577,Pakistan
Fuerzas Armadas de Liberacion Nacional (FALN),120.0,7.0,40.712784,-74.005941,United States
Montoneros (Argentina),116.0,211.0,-34.6037,-58.381503,Argentina
Free Aceh Movement (GAM),115.0,137.0,4.843278,96.12808299999999,Indonesia
November 17 Revolutionary Organization (N17RO),115.0,26.0,37.97918,23.716647000000002,Greece
Revolutionary Organization of People in Arms (ORPA),113.0,282.0,14.634863000000001,-91.14318,Guatemala
The Extraditables,110.0,182.0,6.270526,-75.57217299999999,Colombia
United Popular Action Movement,108.0,19.0,-33.469115,-70.641997,Chile
Mujahedin-e Khalq (MEK),106.0,509.0,35.696442,51.422973999999996,Iran
Guatemalan National Revolutionary Unity (URNG),105.0,103.0,14.664657,-90.82171,Guatemala
Left-Wing Guerrillas,101.0,309.0,9.337295,-73.653621,Colombia
Democratic Front for the Liberation of Rwanda (FDLR),100.0,463.0,-1.15011,29.426639,Democratic Republic of the Congo
Khmer Rouge,98.0,313.0,12.901933999999999,104.525757,Cambodia
White extremists,98.0,59.0,47.65878,-117.426047,United States
Anarchists,96.0,2.0,37.986472,23.736655,Greece
Democratic Revolutionary Alliance (ARDE),96.0,1067.0,11.24243,-84.79098,Nicaragua
People's War Group (PWG),96.0,408.0,24.123729,83.83404399999999,India
Opposition Group,95.0,15.0,23.013862,89.82936099999999,Bangladesh
Irish Republican Extremists,94.0,89.0,54.597269,-5.930109,United Kingdom
Pro Hartal Activists,92.0,5.0,23.735864000000003,90.363098,Bangladesh
Dissident Republicans,91.0,3.0,54.67796800000001,-5.996696,United Kingdom
United Baloch Army (UBA),90.0,171.0,30.139265999999996,66.981323,Pakistan
Black Nationalists,90.0,18.0,37.338475,-121.88579399999999,United States
Revolutionary People's Struggle (ELA),89.0,2.0,37.97918,23.716647000000002,Greece
Haqqani Network,88.0,762.0,34.528455,69.17170300000001,Afghanistan
People's Liberation Army (India),87.0,78.0,24.806299,93.948197,India
Uighur Separatists,86.0,381.0,43.793028,87.627812,China
New World Liberation Front (NWLF),86.0,1.0,37.777125,-122.41964399999999,United States
Bangladesh Nationalist Party (BNP),85.0,16.0,23.811388,90.41210600000001,Bangladesh
Jamaat-E-Islami (Bangladesh),85.0,70.0,24.01574,89.21674399999999,Bangladesh
Earth Liberation Front (ELF),84.0,0.0,38.962408,-119.939903,United States
Ejercito Revolucionaria del Pueblo (ERP) (Argentina),84.0,18.0,-34.6037,-58.381503,Argentina
Karen National Union,83.0,192.0,16.886416,97.63288299999999,Myanmar
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),82.0,81.0,25.2727,94.0265,India
Jewish Defense League (JDL),82.0,4.0,40.712784,-74.005941,United States
National Liberation Front of Tripura (NLFT),80.0,259.0,23.846698,91.909924,India
Jemaah Islamiya (JI),80.0,366.0,-6.2088209999999995,106.846046,Indonesia
Muslim Fundamentalists,80.0,109.0,36.57412,2.91214,Algeria
Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),79.0,32.0,26.813315000000003,85.484153,Nepal
Bodo Militants,78.0,325.0,26.496451,90.701555,India
Al-Qaida,78.0,3846.0,32.998616999999996,70.067081,Pakistan
Kashmiri extremists,77.0,249.0,34.083658,74.797368,India
Militants,77.0,146.0,33.172958,70.401826,Pakistan
Ansar Bayt al-Maqdis (Ansar Jerusalem),76.0,214.0,30.600094,33.625975,Egypt
Movement for the Emancipation of the Niger Delta (MEND),76.0,285.0,4.7740800000000005,6.32686,Nigeria
Student Radicals,74.0,0.0,34.990454,126.48168600000001,South Korea
Ansar al-Sharia (Libya),73.0,167.0,32.111164,20.082435999999998,Libya
Resistenza,73.0,0.0,41.918890999999995,8.737554,France
Turkish People's Liberation Army,69.0,19.0,39.744732,39.496832,Turkey
Red Army Faction (RAF),68.0,19.0,50.143338,8.569075,West Germany (FRG)
Jihadi-inspired extremists,67.0,228.0,49.75611,9.97061,Germany
Sudan People's Liberation Movement in Opposition (SPLM-IO),66.0,1306.0,9.259689,29.800147999999997,South Sudan
Asa'ib Ahl al-Haqq,66.0,95.0,33.978518,44.936331,Iraq
Contras,66.0,357.0,13.759041,-86.017217,Nicaragua
Right-wing extremists,65.0,120.0,52.213409000000006,6.892932000000001,Netherlands
United Self Defense Units of Colombia (AUC),65.0,320.0,2.85,-76.31666700000001,Colombia
Ahrar al-Sham,64.0,441.0,36.157839,37.133843,Syria
Naxalites,64.0,393.0,23.669296,86.151112,India
Communists,64.0,163.0,14.679084,120.539549,Philippines
Shanti Bahini - Peace Force,64.0,316.0,22.938589,92.184329,Bangladesh
Ansar al-Dine (Mali),63.0,135.0,19.464084,0.85682,Mali
Al-Fatah,63.0,105.0,31.558212,34.543305,Israel
Corsican Separatists,63.0,1.0,41.919129999999996,8.738536,France
People's Revolutionary Army (ERP) (El Salvador),63.0,48.0,13.692879999999999,-89.199161,El Salvador
Hizb-I-Islami,63.0,187.0,34.533056,69.166111,Afghanistan
Movement for Oneness and Jihad in West Africa (MUJAO),63.0,193.0,16.273292,-0.050689,Mali
Ricardo Franco Front (Dissident FARC),62.0,66.0,3.89744,-75.53936,Colombia
Terra Lliure,62.0,1.0,41.387917,2.1699189999999997,Spain
Chukakuha (Middle Core Faction),61.0,2.0,35.685826,139.756684,Japan
Sindhu Desh Liberation Army (SDLA),60.0,13.0,26.238851,68.4031,Pakistan
Southern Mobility Movement (Yemen),60.0,117.0,13.536001,44.852623,Yemen
Paraguayan People's Army (EPP),60.0,39.0,-23.457515,-56.738709,Paraguay
Sudan People's Liberation Movement - North,59.0,594.0,11.016667,29.716666999999998,Sudan
Revolutionary Cells,59.0,1.0,52.090142,5.109665000000001,Netherlands
Revolutionary United Front (RUF),59.0,517.0,8.52755,-12.508795,Sierra Leone
Popular Resistance Committees,58.0,31.0,31.483515,34.532152,Israel
National Socialist Council of Nagaland-Khaplang (NSCN-K),58.0,68.0,25.906267,93.72759,India
Kosovo Liberation Army (KLA),58.0,45.0,42.602636,20.902977,Yugoslavia
Terrorists,58.0,105.0,31.147130999999998,75.34121800000001,India
Thai Islamic Militants,58.0,42.0,6.381892,101.506227,Thailand
Indian Mujahideen,58.0,165.0,18.520429999999998,73.85674399999999,India
Recontras,57.0,63.0,13.24951,-85.9007,Nicaragua
Prima Linea,57.0,16.0,45.463681,9.188171,Italy
Mayi Mayi,57.0,232.0,0.050658999999999996,29.687596999999997,Democratic Republic of the Congo
Jaish-e-Mohammad (JeM),56.0,237.0,34.069935,74.793683,India
Conspiracy of Cells of Fire,56.0,0.0,37.97918,23.716647000000002,Greece
Baader-Meinhof Group,55.0,12.0,41.214436,9.407588,Italy
Gurkha National Liberation Front (GNLF),55.0,37.0,27.036007,88.262675,India
Action Directe,55.0,6.0,48.856614,2.3522220000000003,France
Omega-7,55.0,4.0,40.712784,-74.005941,United States
People's Liberation Front of India,55.0,57.0,23.120971,85.0701,India
Anti-Balaka Militia,54.0,422.0,4.3822529999999995,18.549922,Central African Republic
Movement of Democratic Forces of Casamance,54.0,121.0,12.583333,-16.266667,Senegal
Jammu and Kashmir Liberation Front,54.0,65.0,34.083658,74.797368,India
South-West Africa People's Organization (SWAPO),53.0,84.0,-17.514389,15.953741,Namibia
Badr Brigades,53.0,5.0,33.978518,44.936331,Iraq
Democratic Front for the Liberation of Palestine (DFLP),53.0,68.0,31.524133000000003,34.596527,Israel
Jama'atul Mujahideen Bangladesh (JMB),52.0,108.0,24.01574,89.21674399999999,Bangladesh
Iparretarrak (IK),52.0,2.0,43.492948999999996,-1.474841,France
Niger Delta Avengers (NDA),51.0,6.0,5.434543,5.677693,Nigeria
Abu Nidal Organization (ANO),50.0,278.0,33.562839000000004,35.36887,Lebanon
Inkatha Freedom Party (IFP),49.0,337.0,-26.103533,28.097631,South Africa
Israeli settlers,49.0,60.0,31.829455,35.206107,West Bank and Gaza Strip
Moslem Activists,49.0,127.0,36.7525,3.04197,Algeria
Albanian extremists,48.0,35.0,42.460434,21.469323000000003,Kosovo
Informal Anarchist Federation,47.0,0.0,51.454177,-2.589057,United Kingdom
Pattani United Liberation Organization (PULO),47.0,26.0,6.602612,101.60642800000001,Thailand
Free Galician People's Guerrilla Army,47.0,4.0,42.880447,-8.546303,Spain
Popular Forces of April 25,47.0,10.0,38.725299,-9.150036,Portugal
Left-Wing Terrorists,47.0,71.0,13.733333300000002,-88.8833333,El Salvador
Revolutionary Patriotic Anti-Fascist Front (FRAP),47.0,7.0,40.416691,-3.7003449999999996,Spain
Justice Commandos for the Armenian Genocide,47.0,34.0,48.856614,2.3522220000000003,France
Strikers,46.0,3.0,-25.282773000000002,-57.63561,Paraguay
Black September,46.0,77.0,31.950001,35.933331,Jordan
Al-Naqshabandiya Army,45.0,234.0,33.63497,44.235291,Iraq
"Weather Underground, Weathermen",45.0,1.0,40.759505,-111.88822900000001,United States
Jaysh al-Islam (Syria),45.0,221.0,33.555753,36.316094,Syria
Adan-Abyan Province of the Islamic State,45.0,379.0,12.800127,45.032512,Yemen
Islamic Front (Syria),44.0,525.0,35.648056,36.677354,Syria
Tawhid and Jihad,44.0,838.0,33.3,44.4,Iraq
23rd of September Communist League,44.0,72.0,19.432608,-99.133207,Mexico
Dishmish Regiment,43.0,6.0,31.147130999999998,75.34121800000001,India
Caucasus Emirate,42.0,213.0,43.216667,44.766667,Russia
Anti-Government extremists,41.0,198.0,35.472015,-97.520354,United States
Real Irish Republican Army (RIRA),41.0,34.0,54.713381999999996,-6.216761,United Kingdom
Kachin Independence Army (KIA),41.0,43.0,25.615431,96.317559,Myanmar
Shia Muslim extremists,41.0,175.0,33.411707,44.432341,Iraq
Devrimici Halk Kurtulus Cephesi (DHKP/C),41.0,28.0,41.013517,28.950671999999997,Turkey
Guerrillas,41.0,74.0,3.420701,-76.522118,Colombia
Tupamaros (Uruguay),41.0,4.0,-34.891151,-56.187214000000004,Uruguay
Official Irish Republican Army (OIRA),40.0,47.0,54.597269,-5.930109,United Kingdom
Buddhist Monks,40.0,0.0,16.797851,96.15735,Myanmar
Patriotic Resistance Front in Ituri (FRPI),40.0,12.0,1.35,30.183333,Democratic Republic of the Congo
Tribal Group,40.0,82.0,26.401436,90.266699,India
Lorenzo Zelaya Revolutionary Front (LZRF),40.0,25.0,14.0833,-87.2167,Honduras
Oglaigh na hEireann,39.0,1.0,54.614357,-5.965496,United Kingdom
Kangleipak Communist Party (KCP),39.0,29.0,24.817010999999997,93.936844,India
Sunni Muslim extremists,39.0,176.0,24.921154,67.019165,Pakistan
Party for the Liberation of the Hutu People (PALIPEHUTU),39.0,269.0,-3.382942,29.367103000000004,Burundi
Muslims,39.0,311.0,8.004674000000001,124.2913,Philippines
Barisan Revolusi Nasional (BRN),39.0,29.0,6.868669000000001,101.366,Thailand
Armed Forces of National Resistance (FARN),39.0,16.0,13.692879999999999,-89.199161,El Salvador
Muslim Rebels,39.0,309.0,36.752887,3.042048,Algeria
Sudan People's Liberation Army (SPLA),38.0,207.0,4.849844999999999,31.600138,Sudan
Great Eastern Islamic Raiders Front (IBDA-C),38.0,59.0,41.013517,28.950671999999997,Turkey
Tuareg extremists,38.0,130.0,17.669798,-0.299735,Mali
Brunswijk Jungle Commando,38.0,20.0,5.616667,-54.4,Suriname
Hizbul al Islam (Somalia),33.0,139.0,2.10922,45.156748,Somalia
Taliban (Pakistan),37.0,140.0,32.926684,69.920086,Pakistan
Macheteros,37.0,6.0,18.46617,-66.106654,United States
Free Papua Movement (OPM-Organisasi Papua Merdeka),37.0,62.0,-4.28068,138.05053700000002,Indonesia
Israeli extremists,36.0,6.0,31.9416,35.222734,West Bank and Gaza Strip
Black Liberation Army,36.0,19.0,40.712784,-74.005941,United States
Awami League,36.0,26.0,23.811388,90.41210600000001,Bangladesh
Ajnad Misr,36.0,18.0,30.028290000000002,31.213289000000003,Egypt
Popular Revolutionary Bloc (BPR),36.0,35.0,13.692879999999999,-89.199161,El Salvador
Turkish People's Liberation Front (TPLF)(THKP-C),35.0,25.0,41.018006,28.908078999999997,Turkey
National Liberation Army (NLA) (Macedonia),35.0,17.0,42.008513,20.974304999999998,Macedonia
Southern Front,35.0,145.0,33.558434000000005,36.366003000000006,Syria
Croatian Nationalists,34.0,17.0,40.712784,-74.005941,United States
Paramilitaries,34.0,227.0,6.462815,-75.556382,Colombia
Seleka,34.0,447.0,5.7657050000000005,20.674025,Central African Republic
Communist Party of Nepal-Maoist (Baidya),34.0,2.0,26.871478999999997,87.934147,Nepal
Turkish Communist Party/Marxist (TKP-ML),34.0,20.0,41.013517,28.950671999999997,Turkey
Islamic State in Bangladesh,34.0,57.0,24.294097,89.080947,Bangladesh
Canary Islands Independence Movement,34.0,0.0,28.46981,-16.254856,Spain
Rebels,33.0,387.0,12.120819000000001,15.086542000000001,Chad
The New Irish Republican Army,33.0,6.0,54.614858,-5.961526999999999,United Kingdom
Maoist Communist Center (MCC),33.0,185.0,24.7458,84.923213,India
Breton Liberation Front (FLB),32.0,5.0,48.465906,-2.085787,France
National Liberation Front (FNL) (Burundi),32.0,30.0,-3.372031,29.368608000000002,Burundi
Baloch Nationalists,32.0,31.0,30.081371999999998,66.99183000000001,Pakistan
Janatantrik Terai Mukti Morcha (JTMM),32.0,7.0,26.617262,86.701389,Nepal
Jewish Extremists,31.0,8.0,31.768326000000002,35.215749,Israel
April 6th Liberation Movement,31.0,1.0,14.596051000000001,120.97866599999999,Philippines
Continuity Irish Republican Army (CIRA),31.0,8.0,54.44811800000001,-6.387579,United Kingdom
Meibion Glyndwr,31.0,0.0,51.500152,-0.126236,United Kingdom
Chicano Liberation Front,31.0,2.0,34.0613,-118.203553,United States
Armed Revolutionary Independence Movement (MIRA),31.0,2.0,40.712784,-74.005941,United States
Ansar al-Islam,30.0,120.0,35.46883,44.39098,Iraq
Armed Proletarian Nuclei (NAP),30.0,7.0,41.89052,12.494249,Italy
Sanaa Province of the Islamic State,30.0,304.0,15.356734,44.207863,Yemen
Abdullah Azzam Brigades,30.0,185.0,33.855875,35.489346000000005,Lebanon
United National Liberation Front (UNLF),30.0,28.0,24.663717000000002,93.906269,India
Jundallah (Pakistan),30.0,425.0,24.893379,67.028061,Pakistan
Kurdistan Freedom Hawks (TAK),30.0,170.0,41.004391999999996,28.979091999999998,Turkey
United Freedom Front (UFF),29.0,0.0,36.846825,-76.285069,United States
Janatantrik Terai Mukti Morcha- Goit (JTMM-G),29.0,14.0,26.617262,86.701389,Nepal
Balochistan Liberation United Front (BLUF),29.0,29.0,30.182962,66.998824,Pakistan
Macina Liberation Front (FLM),28.0,71.0,14.226116000000001,-5.975327,Mali
Bougainville Revolutionary Army (BRA),28.0,45.0,-6.228251,155.565903,Papua New Guinea
Loyalists,28.0,3.0,54.996777,-7.318979,United Kingdom
Communist Party of Nepal - Maoist (CPN-Maoist-Chand),28.0,0.0,26.452475,87.271781,Nepal
Puerto Rican Nationalists,28.0,0.0,18.46617,-66.106654,United States
Al-Qaida in the Indian Subcontinent,28.0,57.0,24.824796,67.031566,Pakistan
Haftar Militia,27.0,101.0,32.117090999999995,20.073805,Libya
Rebel Armed Forces of Guatemala (FAR),27.0,41.0,16.33408227,-90.16836095,Guatemala
Patriotic Morazanista Front (FPM),27.0,10.0,14.0833,-87.2167,Honduras
People's Committee against Police Atrocities (PCPA),27.0,14.0,22.408213,87.185674,India
People's Revolutionary Party of Kangleipak (PREPAK),27.0,6.0,24.801046,93.94266999999999,India
Vigilante Group,27.0,250.0,7.293839999999999,80.64066899999999,Sri Lanka
Anti-Muslim extremists,27.0,3.0,40.728224,-73.794852,United States
Halqa-e-Mehsud,27.0,155.0,32.595488,69.799099,Pakistan
Loyalist Volunteer Forces (LVF),27.0,10.0,54.533308,-6.121179,United Kingdom
National Democratic Alliance Army (NDAA-ESSA),27.0,75.0,23.455057999999998,97.932816,Myanmar
Ta'ang National Liberation Army (TNLA),26.0,36.0,23.302087,97.962011,Myanmar
Students Islamic Movement of India (SIMI),26.0,107.0,28.632381,77.220004,India
Dima Halao Daoga (DHD),26.0,38.0,25.389457999999998,92.996849,India
Harkatul Jihad-e-Islami,25.0,318.0,22.572646,88.363895,India
Revolutionary Struggle,25.0,1.0,37.97918,23.716647000000002,Greece
Jaish-e-Islam,25.0,118.0,30.180194,66.990607,Pakistan
Jund al-Aqsa,25.0,307.0,35.410146999999995,36.502689000000004,Syria
Extremists,25.0,10.0,13.536835,-88.78058399999999,El Salvador
Movement of the Revolutionary Left (MIR) (Peru),25.0,2.0,-12.046378,-77.04279100000001,Peru
Azawad National Liberation Movement (MNLA),25.0,97.0,16.782377,-2.400617,Mali
Popular Resistance Committees (Yemen),25.0,101.0,13.634341000000001,46.056321000000004,Yemen
Anti-Government Group,25.0,16.0,41.89052,12.494249,Italy
Organization of Volunteers for the Puerto Rican Revolution,24.0,1.0,18.369196,-66.16596700000001,United States
Fetullah Terrorist Organization,24.0,92.0,39.928207,32.864688,Turkey
Zapatista National Liberation Army,24.0,81.0,16.738601,-92.633229,Mexico
Murle Tribe,24.0,406.0,7.919333999999999,33.166788000000004,Ethiopia
Lashkar-e-Balochistan,24.0,12.0,26.133232999999997,62.30731899999999,Pakistan
International Revolutionary Action Group (GARI),24.0,0.0,48.856614,2.3522220000000003,France
National Council for Defense of Democracy (NCDD),24.0,132.0,-3.344121,29.392239,Burundi
Army of God,24.0,3.0,38.890370000000004,-77.031959,United States
Peasant Self-Defense Group (ACCU),24.0,313.0,7.276111,-76.56222199999999,Colombia
Black Panthers,24.0,6.0,41.58979,-93.615659,United States
Red Flag (Venezuela),24.0,47.0,10.502961,-66.917253,Venezuela
Alfaro Vive,24.0,15.0,-0.18143900000000002,-78.46726600000001,Ecuador
Cinchoneros Popular Liberation Movement,24.0,8.0,14.0833,-87.2167,Honduras
Revolutionary Workers' Council (Kakurokyo),24.0,7.0,35.685826,139.756684,Japan
United Front for Democracy Against Dictatorship,24.0,21.0,13.723419,101.658222,Thailand
16 January Organization for the Liberation of Tripoli,24.0,1.0,34.438094,35.830837,Lebanon
Left-wing extremists,24.0,22.0,37.97918,23.716647000000002,Greece
Catalan Liberation Front (FAC),24.0,2.0,41.387917,2.1699189999999997,Spain
Mujahideen Youth Movement (MYM),23.0,58.0,2.050309,45.330663,Somalia
Lebanese National Resistance Front,23.0,69.0,33.463846000000004,35.576524,Lebanon
Amal,23.0,24.0,33.888628999999995,35.495478999999996,Lebanon
Jamiat ul-Mujahedin (JuM),23.0,109.0,34.083658,74.797368,India
Military Council of the Tribal Revolutionaries (MCTR),23.0,124.0,33.462707,44.157787,Iraq
Red Hand Defenders (RHD),23.0,9.0,54.597269,-5.930109,United Kingdom
Communist Party of Nepal- Maoist (CPN-M),23.0,654.0,27.416490999999997,85.033562,Nepal
Mujahidin Indonesia Timur (MIT),23.0,33.0,-1.348347,120.34454099999999,Indonesia
Arab Separatists,23.0,13.0,30.903063,48.505725,Iran
Maute Group,23.0,33.0,8.001172,124.284462,Philippines
Cuban Exiles,22.0,0.0,25.764367,-80.20152900000001,United States
Ku Klux Klan,22.0,7.0,36.068994,-79.79470400000001,United States
Supporters of Abd Rabbuh Mansur Hadi,22.0,84.0,13.583145000000002,44.019369,Yemen
National Front for the Liberation of Cuba (FLNC),22.0,2.0,25.764367,-80.20152900000001,United States
Anti-Semitic extremists,22.0,15.0,38.609823,-121.35316399999999,United States
Nyatura Militia,22.0,30.0,-1.201206,28.929270000000002,Democratic Republic of the Congo
Youths,21.0,0.0,42.695391,-1.6760689999999998,Spain
